"date","site","transect","y","x","species","tag","cl","cw","ch","stem_diam","spring","status","notes","herbivory"
2013-11-13,"M",4,1,0,"ATP",729,3,1,5,1.4,2014-05-15,1,"browsed",1
2013-11-13,"M",4,3,0,"ATV",234,4,3,4,1.5,2014-05-15,1,"browsed",1
2013-11-13,"M",4,11,0,"ATP",551,1,1,3,0.5,2014-05-15,1,NA,NA
2013-11-13,"M",4,13,0,"ATV",353,5,4,6,2,2014-05-15,1,NA,NA
2013-11-13,"M",4,21,0,"ATP",351,5,3,4,2,2014-05-15,1,"browsed",1
2013-11-13,"M",4,23,0,"ATV",76,3,2,6,2.5,2014-05-15,3,"browsed",1
2013-11-13,"M",4,31,0,"ATP",830,3,2,5,1.7,2014-05-15,1,NA,NA
2013-11-13,"M",4,33,0,"ATV",243,3,1,5,1.2,2014-05-15,1,"browsed",1
2013-11-13,"M",4,41,0,"ATP",261,5,2,8,2.4,2014-05-15,1,NA,NA
2013-11-13,"M",4,43,0,"ATV",364,6,3,6,2.8,2014-05-15,1,NA,NA
2013-11-13,"M",4,51,0,"ATP",813,3,2,4,0.7,2014-05-15,1,NA,NA
2013-11-13,"M",4,53,0,"ATV",100,3,3,5,2.5,2014-05-15,1,"resprouting ",NA
2013-11-13,"M",4,61,0,"ATP",810,4,2,3,1.8,2014-05-15,3,"fresh browse",1
2013-11-13,"M",4,63,0,"ATV",453,2,1,3,1.3,2014-05-15,0,"browse",1
2013-11-13,"M",4,71,0,"ATP",452,1,3,6,1.6,2014-05-15,1,NA,NA
2013-11-13,"M",4,73,0,"ATV",681,1,2,3,1.3,2014-05-15,1,NA,NA
2013-11-13,"M",4,81,0,"ATP",723,2,2,3,2.1,2014-05-15,0,NA,NA
2013-11-13,"M",4,83,0,"ATV",688,4,2,6,1.5,2014-05-15,1,NA,NA
2013-11-13,"M",4,91,0,"ATP",792,1,1,5,0.5,2014-05-15,1,NA,NA
2013-11-13,"M",4,93,0,"ATV",690,1,3,5,0.5,2014-05-15,0,NA,NA
2013-11-13,"G",3,1,0,"ATP",693,4,3,5,1.4,2014-05-15,1,NA,NA
2013-11-13,"G",3,3,0,"ATV",632,3,1,3,1.7,2014-05-15,1,NA,NA
2013-11-13,"G",3,11,0,"ATP",236,3,1,6,1.2,2014-05-15,1,NA,NA
2013-11-13,"G",3,13,0,"ATV",552,2,1,5,0.7,2014-05-15,0,NA,NA
2013-11-13,"G",3,21,0,"ATP",677,3,4,6,1.7,2014-05-15,1,NA,NA
2013-11-13,"G",3,23,0,"ATV",623,3,4,6,1.6,2014-05-15,1,NA,NA
2013-11-13,"G",3,31,0,"ATP",599,3,3,4,1.4,2014-05-15,1,NA,NA
2013-11-13,"G",3,33,0,"ATV",559,5,4,5,2,2014-05-15,1,"half dry",NA
2013-11-13,"G",3,41,0,"ATP",819,2,1,3,1,2014-05-15,0,"dry",NA
2013-11-13,"G",3,43,0,"ATV",535,1,2,4,0.9,2014-05-15,1,NA,NA
2013-11-13,"G",3,51,0,"ATP",630,2,3,5,1.3,2014-05-15,1,NA,NA
2013-11-13,"G",3,53,0,"ATV",657,4,4,5,2.5,2014-05-15,1,NA,NA
2013-11-13,"G",3,61,0,"ATP",486,3,3,5,2.7,2014-05-15,1,NA,NA
2013-11-13,"G",3,63,0,"ATV",434,4,2,6,2,2014-05-15,1,NA,NA
2013-11-13,"G",3,71,0,"ATP",627,1,1,5,1.1,2014-05-15,1,NA,NA
2013-11-13,"G",3,73,0,"ATV",541,3,2,4,1,2014-05-15,1,NA,NA
2013-11-13,"G",3,81,0,"ATP",450,4,3,9,2.4,2014-05-15,1,NA,NA
2013-11-13,"G",3,83,0,"ATV",798,2,1,4,0.7,2014-05-15,1,NA,NA
2013-11-13,"G",3,91,0,"ATP",454,4,2,6,1.7,2014-05-15,1,NA,NA
2013-11-13,"G",3,93,0,"ATV",568,2,2,4,1,2014-05-15,1,NA,NA
2013-11-13,"J",4,1,0,"ATP",767,2,2,4,2,2014-05-15,1,NA,NA
2013-11-13,"J",4,3,0,"ATV",458,3,3,6,2,2014-05-15,1,NA,NA
2013-11-13,"J",4,11,0,"ATP",245,2,1,5,1.2,2014-05-15,1,NA,NA
2013-11-13,"J",4,13,0,"ATV",115,1,2,3,0.9,2014-05-15,1,"wilted",NA
2013-11-13,"J",4,21,0,"ATP",620,2,1,4,1.5,2014-05-15,1,NA,NA
2013-11-13,"J",4,23,0,"ATV",575,2,1,4,1.5,2014-05-15,0,"dry gray",NA
2013-11-13,"J",4,31,0,"ATP",683,1,1,3,1.1,2014-05-15,1,"browsed resprouting",1
2013-11-13,"J",4,33,0,"ATV",689,1,2,4,1.6,2014-05-15,1,NA,NA
2013-11-13,"J",4,41,0,"ATP",757,2,3,3,1.5,2014-05-15,1,NA,NA
2013-11-13,"J",4,43,0,"ATV",469,3,1,5,1.8,2014-05-15,1,"browsed ",1
2013-11-13,"J",4,51,0,"ATP",674,2,2,6,1.3,2014-05-15,1,"browsed resprouting",1
2013-11-13,"J",4,53,0,"ATV",499,2,1,3,1.6,2014-05-15,1,NA,NA
2013-11-13,"J",4,61,0,"ATP",477,1,1,4,0.6,2014-05-15,1,NA,NA
2013-11-13,"J",4,63,0,"ATV",495,3,2,5,1,2014-05-15,1,NA,NA
2013-11-13,"J",4,71,0,"ATP",809,2,3,6,1.5,2014-05-15,0,"browsed",1
2013-11-13,"J",4,73,0,"ATV",493,2,3,4,2.4,2014-05-15,1,NA,NA
2013-11-13,"J",4,81,0,"ATP",818,1,1,3,0.7,2014-05-15,0,"dry gray",NA
2013-11-13,"J",4,83,0,"ATV",464,2,2,6,2,2014-05-15,1,NA,NA
2013-11-13,"J",4,91,0,"ATP",645,3,3,6,3.1,2014-05-15,1,"tag typo ",NA
2013-11-13,"J",4,93,0,"ATV",737,2,2,3,1.4,2014-05-15,1,"tag typo",NA
2013-11-14,"H",3,1,0,"ATP",488,4,2,7,2.7,2014-05-15,1,NA,NA
2013-11-14,"H",3,3,0,"ATV",117,3,2,4,1.2,2014-05-15,1,NA,NA
2013-11-14,"H",3,11,0,"ATP",494,1,2,4,1,2014-05-15,1,"dry gray, changed status from 0 to 1 because it was recorded alive on 5-22-14",NA
2013-11-14,"H",3,13,0,"ATV",473,1,2,3,0.7,2014-05-15,0,"dry gray",NA
2013-11-14,"H",3,21,0,"ATP",280,3,3,7,2.4,2014-05-15,0,"dry gray",NA
2013-11-14,"H",3,23,0,"ATV",502,3,5,7,2.5,2014-05-15,1,NA,NA
2013-11-14,"H",3,31,0,"ATP",722,1,2,3,1.4,2014-05-15,0,"plant gone",NA
2013-11-14,"H",3,33,0,"ATV",754,4,4,6,0.9,2014-05-15,0,"dry gray",NA
2013-11-14,"H",3,41,0,"ATP",613,5,4,6,2,2014-05-15,1,NA,NA
2013-11-14,"H",3,43,0,"ATV",471,5,4,9,3.5,2014-05-15,0,"dry gray",NA
2013-11-14,"H",3,51,0,"ATP",824,2,2,4,2,2014-05-15,1,NA,NA
2013-11-14,"H",3,54,0,"ATV",290,5,4,7,3.5,2014-05-15,1,NA,NA
2013-11-14,"H",3,61,0,"ATP",756,2,2,5,0.9,2014-05-15,1,NA,NA
2013-11-14,"H",3,63,0,"ATV",465,4,3,6,2.5,2014-05-15,0,"dry no lvs",NA
2013-11-14,"H",3,70,0,"ATP",547,2,4,4,1.7,2014-05-15,1,"browsed resprouting",1
2013-11-14,"H",3,73,0,"ATV",474,3,2,5,1.2,2014-05-15,1,NA,NA
2013-11-14,"H",3,81,0,"ATP",800,1,1,5,0.7,2014-05-15,1,NA,NA
2013-11-14,"H",3,83,0,"ATV",602,4,3,9,4,2014-05-15,1,NA,NA
2013-11-14,"H",3,91,0,"ATP",459,3,1,5,1.4,2014-05-15,1,NA,NA
2013-11-14,"H",3,93,0,"ATV",481,2,1,6,1.5,2014-05-15,1,NA,NA
2013-11-14,"L",5,1,0,"ATP",797,1,2,10,3.1,2014-05-16,1,NA,NA
2013-11-14,"L",5,3,0,"ATV",478,1,1,6,1.5,2014-05-16,0,"dry gray",NA
2013-11-14,"L",5,11,0,"ATP",570,2,2,6,2,2014-05-16,1,NA,NA
2013-11-14,"L",5,13,0,"ATV",408,3,3,5,2.6,2014-05-16,1,NA,NA
2013-11-14,"L",5,21,0,"ATP",640,1,1,3,1.1,2014-05-16,0,"no lvs",NA
2013-11-14,"L",5,23,0,"ATV",537,2,3,6,2.1,2014-05-16,0,"dry gray",NA
2013-11-14,"L",5,31,0,"ATP",662,1,1,6,1.2,2014-05-16,1,NA,NA
2013-11-14,"L",5,33,0,"ATV",475,2,1,6,2.1,2014-05-16,0,"dry gray",NA
2013-11-14,"L",5,41,0,"ATP",679,1,2,5,1.5,2014-05-16,1,"top dead resprouting ",NA
2013-11-14,"L",5,43,0,"ATV",651,1,2,4,1.4,2014-05-16,1,NA,NA
2013-11-14,"L",5,51,0,"ATP",451,1,1,2,1,2014-05-16,1,NA,NA
2013-11-14,"L",5,54,0,"ATV",744,1,1,3,1.1,2014-05-16,0,"dry gray",NA
2013-11-14,"L",5,61,0,"ATP",831,1,1,6,1.1,2014-05-16,1,NA,NA
2013-11-14,"L",5,63,0,"ATV",759,3,2,5,1.9,2014-05-16,1,NA,NA
2013-11-14,"L",5,71,0,"ATP",817,1,1,5,1.4,2014-05-16,1,NA,NA
2013-11-14,"L",5,73,0,"ATV",825,2,1,4,1.4,2014-05-16,1,NA,NA
2013-11-14,"L",5,81,0,"ATP",641,3,2,5,2,2014-05-16,1,NA,NA
2013-11-14,"L",5,83,0,"ATV",594,3,5,6,2.2,2014-05-16,1,NA,NA
2013-11-14,"L",5,91,0,"ATP",795,2,1,6,2.1,2014-05-16,1,NA,NA
2013-11-14,"L",5,93,0,"ATV",571,3,1,7,1.5,2014-05-16,1,NA,NA
2013-11-14,"C",3,1,0,"ATP",531,2,2,5,1.6,2014-05-16,1,NA,NA
2013-11-14,"C",3,3,0,"ATV",292,4,2,6,1.7,2014-05-16,1,NA,NA
2013-11-14,"C",3,11,0,"ATP",430,2,5,5,2.5,2014-05-16,1,"under shrub",NA
2013-11-14,"C",3,13,0,"ATV",766,3,1,8,2.1,2014-05-16,1,NA,NA
2013-11-14,"C",3,21,0,"ATP",812,2,2,4,2.3,2014-05-16,1,"resprouting",NA
2013-11-14,"C",3,23,0,"ATV",472,3,1,5,2.2,2014-05-16,0,"dry gray",NA
2013-11-14,"C",3,31,0,"ATP",619,4,2,5,2.6,2014-05-16,1,NA,NA
2013-11-14,"C",3,33,0,"ATV",666,1,2,4,1.9,2014-05-16,1,NA,NA
2013-11-14,"C",3,41,0,"ATP",720,3,1,5,2.4,2014-05-16,0,"dry gray",NA
2013-11-14,"C",3,43,0,"ATV",794,3,4,6,3.1,2014-05-16,1,NA,NA
2013-11-14,"C",3,53,0,"ATP",462,3,2,6,1.5,2014-05-16,1,NA,NA
2013-11-14,"C",3,54,0,"ATV",518,3,2,8,2.4,2014-05-16,1,"removal nearby",NA
2013-11-14,"C",3,61,0,"ATP",828,3,3,5,2.2,2014-05-16,1,"removal nearby",NA
2013-11-14,"C",3,63,0,"ATV",680,4,3,6,2.1,2014-05-16,1,NA,NA
2013-11-14,"C",3,71,0,"ATP",485,1,2,4,1.2,2014-05-16,1,NA,NA
2013-11-14,"C",3,73,0,"ATV",713,1,1,3,1,2014-05-16,0,"dry gray",NA
2013-11-14,"C",3,81,0,"ATP",507,2,2,5,1.4,2014-05-16,1,NA,NA
2013-11-14,"C",3,83,0,"ATV",733,2,2,7,2,2014-05-16,1,NA,NA
2013-11-14,"C",3,91,0,"ATP",457,5,1,6,2.6,2014-05-16,1,NA,NA
2013-11-14,"C",3,93,0,"ATV",455,3,4,6,2.4,2014-05-16,1,NA,NA
2013-11-15,"I",4,1,0,"ATP",555,2,1,3,2,2014-05-14,0,"completely dug-up ",NA
2013-11-15,"I",4,3,0,"ATV",650,1,2,2,1.2,2014-05-14,0,"browsed",1
2013-11-15,"I",4,11,0,"ATP",707,3,2,5,1.6,2014-05-14,1,NA,NA
2013-11-15,"I",4,13,0,"ATV",698,2,1,4,1.6,2014-05-14,1,NA,NA
2013-11-15,"I",4,21,0,"ATP",572,3,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"I",4,23,0,"ATV",498,3,2,3,2.3,2014-05-14,1,NA,NA
2013-11-15,"I",4,31,0,"ATP",626,3,1,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,33,0,"ATV",815,3,2,7,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,41,0,"ATP",615,3,1,5,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,43,0,"ATV",576,3,1,5,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,53,0,"ATP",616,2,1,4,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,54,0,"ATV",658,3,3,7,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,61,0,"ATP",504,4,2,6,2.3,2014-05-14,1,NA,NA
2013-11-15,"I",4,63,0,"ATV",461,3,4,7,2.6,2014-05-14,1,NA,NA
2013-11-15,"I",4,71,0,"ATP",622,3,2,6,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,73,0,"ATV",523,1,1,3,1,2014-05-14,1,NA,NA
2013-11-15,"I",4,81,0,"ATP",544,1,1,2,0.7,2014-05-14,1,"dead on top",NA
2013-11-15,"I",4,83,0,"ATV",566,4,2,6,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,91,0,"ATP",489,4,2,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,93,0,"ATV",484,1,2,4,1.3,2014-05-14,1,NA,NA
2013-11-15,"A",3,1,0,"ATP",483,3,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"A",3,3,0,"ATV",506,3,2,4,2,2014-05-14,1,NA,NA
2013-11-15,"A",3,11,0,"ATP",660,4,3,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,13,0,"ATV",625,3,2,4,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,21,0,"ATP",837,3,2,5,2,2014-05-14,1,NA,NA
2013-11-15,"A",3,23,0,"ATV",480,2,1,3,1.8,2014-05-14,1,NA,NA
2013-11-15,"A",3,31,0,"ATP",826,1,3,5,2.6,2014-05-14,1,NA,NA
2013-11-15,"A",3,33,0,"ATV",565,1,1,3,1.1,2014-05-14,0,"dry",NA
2013-11-15,"A",3,41,0,"ATP",617,2,1,3,2.1,2014-05-14,1,NA,NA
2013-11-15,"A",3,43,0,"ATV",501,1,3,5,1.8,2014-05-14,1,NA,NA
2013-11-15,"A",3,51,0,"ATP",595,5,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,53,0,"ATV",711,1,1,3,1,2014-05-14,0,"dry",NA
2013-11-15,"A",3,61,0,"ATP",468,5,2,5,2.6,2014-05-14,1,NA,NA
2013-11-15,"A",3,63,0,"ATV",621,4,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,71,0,"ATP",470,3,3,6,2.2,2014-05-14,1,NA,NA
2013-11-15,"A",3,73,0,"ATV",526,3,2,4,1.4,2014-05-14,1,"dry",NA
2013-11-15,"A",3,81,0,"ATP",834,1,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"A",3,83,0,"ATV",836,2,1,3,1.5,2014-05-14,0,"dry",NA
2013-11-15,"A",3,91,0,"ATP",838,3,2,5,1.3,2014-05-14,0,"dry",NA
2013-11-15,"A",3,93,0,"ATV",839,4,2,6,1.7,2014-05-14,1,"dry",NA
2013-11-15,"B",1,1,0,"ATP",842,3,3,5,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,3,0,"ATV",843,2,2,4,1.9,2014-05-13,1,NA,NA
2013-11-15,"B",1,11,0,"ATP",844,3,2,3,2.2,2014-05-13,1,NA,NA
2013-11-15,"B",1,13,0,"ATV",845,3,2,4,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,21,0,"ATP",846,3,3,4,2.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,23,0,"ATV",847,2,2,3,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,31,0,"ATP",848,3,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,33,0,"ATV",849,2,3,5,1.3,2014-05-13,1,NA,NA
2013-11-15,"B",1,41,0,"ATP",850,1,1,4,1,2014-05-13,3,NA,NA
2013-11-15,"B",1,43,0,"ATV",851,2,2,5,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,53,0,"ATP",852,3,2,6,2.6,2014-05-13,1,NA,NA
2013-11-15,"B",1,54,0,"ATV",853,2,2,4,2.5,2014-05-13,3,"dry gray",NA
2013-11-15,"B",1,61,0,"ATP",854,2,1,3,0.7,2014-05-13,1,NA,NA
2013-11-15,"B",1,63,0,"ATV",855,4,3,6,2,2014-05-13,1,NA,NA
2013-11-15,"B",1,71,0,"ATP",856,2,1,5,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,73,0,"ATV",857,2,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,81,0,"ATP",858,3,2,5,1.4,2014-05-13,0,"dark crispy dry no lvs",NA
2013-11-15,"B",1,83,0,"ATV",859,2,2,3,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,91,0,"ATP",860,3,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,93,0,"ATV",861,2,1,3,1.6,2014-05-13,1,NA,NA
2013-11-15,"K",3,1,0,"ATP",862,2,2,8,1.8,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,3,0,"ATV",863,4,3,6,2.5,2014-05-14,1,NA,NA
2013-11-15,"K",3,11,0,"ATP",864,1,3,9,0.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,13,0,"ATV",865,3,2,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,21,0,"ATP",866,2,2,5,2.5,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,23,0,"ATV",867,2,3,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,31,0,"ATP",868,3,2,4,2,2014-05-14,1,NA,NA
2013-11-15,"K",3,33,0,"ATV",871,2,4,1,1.5,2014-05-14,1,NA,NA
2013-11-15,"K",3,41,0,"ATP",872,3,2,4,2.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,43,0,"ATV",873,2,4,1,1,2014-05-14,1,NA,NA
2013-11-15,"K",3,53,0,"ATP",874,2,1,3,0.7,2014-05-14,1,NA,NA
2013-11-15,"K",3,54,0,"ATV",875,3,3,5,2.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,61,0,"ATP",876,3,4,4,2.1,2014-05-14,1,NA,NA
2013-11-15,"K",3,63,0,"ATV",877,1,2,4,1.6,2014-05-14,1,NA,NA
2013-11-15,"K",3,71,0,"ATP",878,1,2,4,1,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,73,0,"ATV",879,4,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"K",3,81,0,"ATP",880,2,1,4,1.5,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,83,0,"ATV",881,3,4,6,2,2014-05-14,1,NA,NA
2013-11-15,"K",3,91,0,"ATP",882,4,1,3,3.2,2014-05-14,1,NA,NA
2013-11-15,"K",3,93,0,"ATV",883,1,2,2,1.5,2014-05-14,1,"healthy! ",NA
